NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Cope,Anfi,Apen,Cten,Eufa,Fora,Doli,Hete,Misi,Medu,Naup,Ophi,Ostr,Pleu,Pter,Quet,Radi,Salp,Sifo,Esto,Tomo,Caly,Cuma,Furc,Hueinv,Huepec,Juvcam,Larcif,Larcip,Larcri,LarDis,Largas,Larpec,Larpol, Laroph,Lartro,Mega,zoeas,Cefa,Juvpec
30,30,NaN,13,1,2012,3600,7330,250.9,0.9,1.7,0.0,0.0,0.9,42.6,0.3,0.0,0.0,0.9,0.0,0.3,0.0,0.3,2.0,2.3,0.0,1.4,0.0,3.4,5.1,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0
31,31,14,14,1,2012,3600,7318,76.1,0.3,1.6,0.3,1.8,2.0,7.1,0.6,0.0,0.0,1.0,0.0,1.3,0.0,0.7,2.4,1.3,0.0,1.7,0.1,3.0,2.4,0.0,0.9,13.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.1,0.3,0.0,0.0
32,32,14,14,1,2012,3600,7305,56.4,0.0,1.6,0.4,0.1,0.6,12.4,0.1,0.0,0.0,0.7,0.0,1.3,0.0,0.1,1.2,0.4,0.0,0.3,0.0,2.1,4.3,0.0,0.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
33,33,14,14,1,2012,3600,NaN,70.9,1.7,0.0,0.3,1.4,0.0,55.4,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.3,1.1,0.0,0.0,1.7,0.0,1.1,0.3,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0
34,34,14,14,1,2012,3600,7253,74.5,0.0,0.0,0.0,2.3,0.0,80.8,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,3.7,0.0,0.0,4.0,0.0,1.7,0.0,0.0,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
35,35,16,14,1,2012,3620,7340,58.8,0.9,1.1,0.3,0.3,0.0,14.8,0.0,0.0,0.0,0.3,0.0,0.9,0.0,0.0,1.7,0.6,0.0,0.4,0.0,2.9,11.3,0.0,0.4,55.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
36,36,16,15,1,2012,3620,7316,77.2,0.3,0.0,0.0,1.4,0.0,6.6,0.0,0.0,0.3,0.0,0.0,0.3,1.3,0.0,1.9,0.0,0.0,1.0,0.0,1.7,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
37,37,16,15,1,2012,3620,7304,64.3,0.2,0.0,0.3,0.3,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.0,1.5,0.0,0.0,4.6,0.0,1.7,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,16,15,1,2012,3620,7258,114.4,0.0,0.0,0.9,2.7,0.0,513.4,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.9,5.4,0.9,5.4,0.0,0.0,3.6,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,16,15,1,2012,3620,7253,128.1,0.0,44.1,3.9,0.0,0.0,15.8,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.0,2.0,0.0,0.0,5.5,0.0,2.4,0.8,0.0,0.0,3.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.6,0.0,0.0
