Cruce,pais,buque,Est,lat(g) ,lat(m) ,long(g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloasensor , cloa , feop 
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.035,33.542,25.45,5.262,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12.023,33.543,25.453,5.259,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12.017,33.543,25.455,5.258,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.01,33.544,25.456,5.254,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11.999,33.546,25.46,5.241,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11.993,33.547,25.462,5.238,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11.978,33.548,25.466,5.244,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11.931,33.556,25.48,5.193,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11.922,33.557,25.483,5.192,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11.915,33.557,25.485,5.191,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11.901,33.559,25.489,5.198,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11.854,33.573,25.508,5.138,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11.602,33.62,25.592,5.026,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.473,33.643,25.633,4.991,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10.248,33.931,26.075,4.27,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9.791,34.049,26.244,3.47,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9.514,34.109,26.338,3.213,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9.493,34.178,26.395,2.588,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9.493,34.187,26.402,2.548,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9.474,34.202,26.417,2.456,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.681,34.329,26.482,1.617,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.747,34.378,26.509,0.984,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,120,9.745,34.42,26.542,0.584,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9.741,34.423,26.545,0.577,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,127,9.728,34.423,26.547,0.575,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.51,32.707,24.712,5.832,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.564,32.819,24.789,5.815,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.593,32.884,24.834,5.814,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.623,32.947,24.877,5.805,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12.645,33.006,24.918,5.774,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.743,33.211,25.059,5.76,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12.722,33.312,25.141,5.726,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.654,33.307,25.15,5.723,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12.592,33.301,25.157,5.738,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12.574,33.298,25.159,5.745,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.53,33.295,25.163,5.757,0,0,0
547,CHILE,ABATE MOLINA,6,41,20,73,53.7,2012,5,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12.474,33.289,25.169,5.757,0,0,0
